id,key,value,type
22916674,oneway,yes,regular
22916674,highway,motorway,regular
22916676,lit,yes,regular
22916676,ref,2,regular
22916676,name,Whitemud Drive NW,regular
22916676,lanes,4,regular
22916676,oneway,yes,regular
22916676,cutting,yes,regular
22916676,highway,motorway,regular
22916676,maxspeed,80,regular
22916798,name,100 Avenue NW,regular
22916798,lanes,4,regular
22916798,highway,secondary,regular
22917187,name,104 Street NW,regular
22917187,oneway,yes,regular
22917187,highway,secondary,regular
22917201,name,Bellamy Hill NW,regular
22917201,oneway,yes,regular
22917201,highway,secondary,regular
22917211,name,Bellamy Hill NW,regular
22917211,highway,secondary,regular
22917297,name,Scona Road NW,regular
22917297,lanes,2,regular
22917297,oneway,yes,regular
22917297,highway,secondary,regular
22938888,name,142 Street NW,regular
22938888,highway,residential,regular
22939032,name,95 Avenue NW,regular
22939032,lanes,2,regular
22939032,highway,tertiary,regular
22939871,name,100 Ave NW,regular
22939871,oneway,yes,regular
22939871,bicycle,designated,regular
22939871,highway,residential,regular
22939871,cycleway,opposite_lane,regular
22939896,name,116 St NW,regular
22939896,highway,secondary,regular
22939904,lit,yes,regular
22939904,name,104 Avenue NW,regular
22939904,lanes,3,regular
22939904,oneway,yes,regular
22939904,highway,secondary,regular
22940134,lit,yes,regular
22940134,name,McDougall Hill Road NW,regular
22940134,lanes,2,regular
22940134,oneway,yes,regular
22940134,highway,secondary,regular
22940798,ref,2,regular
22940798,name,Gateway Boulevard NW,regular
22940798,lanes,2,regular
22940798,oneway,yes,regular
22940798,highway,trunk,regular
22942099,name,River Valley Road NW,regular
22942099,lanes,2,regular
22942099,oneway,yes,regular
22942099,highway,tertiary,regular
22942137,name,Connors Road NW,regular
22942137,is_in,"Edmonton,Alberta",regular
22942137,lanes,2,regular
22942137,oneway,yes,regular
22942137,highway,secondary,regular
22942170,name,Saskatchewan Drive NW,regular
22942170,lanes,2,regular
22942170,oneway,no,regular
22942170,highway,secondary,regular
22942170,surface,paved,regular
22942170,check_date,2013-07-30,regular
22942170,opening_date,2013-07-31,regular
22942171,name,Saskatchewan Drive NW,regular
22942171,oneway,yes,regular
22942171,highway,tertiary,regular
22946221,name,Rossdale Road NW,regular
22946221,oneway,no,regular
22946221,highway,tertiary,regular
22949598,name,Jasper Avenue NW,regular
22949598,oneway,yes,regular
22949598,highway,unclassified,regular
22949673,name,Allendale Road NW,regular
22949673,lanes,2,regular
22949673,oneway,yes,regular
22949673,highway,secondary,regular
22949816,lit,yes,regular
22949816,name,51 Avenue NW,regular
22949816,lanes,2,regular
22949816,oneway,yes,regular
22949816,highway,secondary,regular
22959547,name,Scona Road NW,regular
22959547,layer,1,regular
22959547,bridge,yes,regular
22959547,oneway,yes,regular
22959547,highway,secondary,regular
22959548,name,Scona Road NW,regular
22959548,oneway,yes,regular
22959548,highway,secondary,regular
22960909,name,Capital Line North,regular
22960909,note,Underground section,regular
22960909,layer,-1,regular
22960909,oneway,yes,regular
22960909,tunnel,yes,regular
22960909,railway,light_rail,regular
22960909,voltage,600,regular
22960909,electrified,contact_line,regular
23191629,name,104 Street NW,regular
23191629,bicycle,designated,regular
23191629,highway,unclassified,regular
23191629,created_by,Potlatch 0.10b,regular
23191633,highway,service,regular
23191696,name,103 Avenue NW,regular
23191696,highway,residential,regular
23191697,name,110 Street NW,regular
23191697,oneway,yes,regular
23191697,bicycle,designated,regular
23191697,highway,unclassified,regular
23191698,highway,service,regular
23191702,name,98 Avenue NW,regular
23191702,highway,residential,regular
23191704,name,102 Street NW,regular
23191704,highway,residential,regular
23191705,name,103 Avenue NW,regular
23191705,highway,unclassified,regular
23191711,name,102 Avenue NW,regular
23191711,bicycle,designated,regular
23191711,highway,unclassified,regular
23191729,name,76 Avenue NW,regular
23191729,highway,tertiary,regular
23225426,name,Windsor Road NW,regular
23225426,highway,residential,regular
23225429,name,92 Avenue NW,regular
23225429,highway,residential,regular
23225446,name,89 Avenue NW,regular
23225446,highway,residential,regular
23225460,name,118 Street NW,regular
23225460,highway,residential,regular
23225468,name,91 Avenue NW,regular
23225468,highway,residential,regular
23225492,name,89 Avenue NW,regular
23225492,oneway,yes,regular
23225492,highway,residential,regular
23225492,cycleway,opposite_lane,regular
23225502,name,93 Avenue NW,regular
23225502,highway,residential,regular
23225504,name,Edinboro Road NW,regular
23225504,highway,residential,regular
23225506,name,Edinboro Road NW,regular
23225506,highway,residential,regular
23225508,name,91 Avenue NW,regular
23225508,highway,residential,regular
23225516,name,120 Street NW,regular
23225516,highway,residential,regular
23225517,name,83 Avenue NW,regular
23225517,highway,residential,regular
23225525,name,84 Avenue NW,regular
23225525,highway,residential,regular
23225530,name,118 Street NW,regular
23225530,highway,residential,regular
23225530,created_by,Potlatch 0.9c,regular
