id,user,uid,version,changeset,timestamp
23191629,xelloss,26616,10,683953,2008-09-23T05:30:22Z
23191633,yoltia,167781,8,11069251,2012-03-23T00:10:24Z
23191696,ionutr_telenav,4930407,30,45297534,2017-01-19T13:30:48Z
23191697,Feldo,454012,10,16777226,2013-07-01T12:35:16Z
23191698,yoltia,167781,13,11069251,2012-03-23T00:10:24Z
23191702,alester,307202,15,20489356,2014-02-10T17:31:20Z
23191704,Feldo,454012,7,16669983,2013-06-23T14:09:40Z
23191705,ionutr_telenav,4930407,8,45299279,2017-01-19T14:49:51Z
23191711,MuzikMachine,1820014,13,28009563,2015-01-08T23:47:33Z
23191729,Sundance,239998,30,20339708,2014-02-02T18:43:52Z
23225426,yegbin,3274426,8,41605836,2016-08-22T04:21:16Z
23225429,yegbin,3274426,7,41605836,2016-08-22T04:21:15Z
23225446,Ranek,156121,4,16159694,2013-05-16T21:52:15Z
23225460,yegbin,3274426,9,41605836,2016-08-22T04:21:14Z
23225468,Ranek,156121,5,16159694,2013-05-16T21:52:14Z
23225492,Viajero Perdido,2365330,6,30299801,2015-04-18T04:13:25Z
23225502,yegbin,3274426,4,41605836,2016-08-22T04:21:15Z
23225504,yegbin,3274426,3,41605836,2016-08-22T04:21:15Z
23225506,JJones,432924,4,13319100,2012-10-01T08:17:03Z
23225508,Ranek,156121,3,16159694,2013-05-16T21:52:15Z
23225516,yegbin,3274426,5,41603443,2016-08-21T23:15:06Z
23225517,yegbin,3274426,8,42331462,2016-09-21T18:56:03Z
23225525,yegbin,3274426,8,41603443,2016-08-21T23:15:06Z
23225530,xelloss,26616,4,395228,2008-07-04T18:01:26Z
23225538,Viajero Perdido,2365330,9,30109873,2015-04-10T05:43:21Z
23225548,Sundance,239998,8,27557157,2014-12-18T19:40:20Z
23225549,Feldo,454012,9,16282421,2013-05-25T17:38:33Z
23225552,Feldo,454012,4,16282421,2013-05-25T17:38:33Z
23225555,bogdanp_telenav,4433679,9,45853944,2017-02-06T13:29:54Z
23225556,ionutr_telenav,4930407,13,45506268,2017-01-26T09:47:38Z
23225574,yegbin,3274426,10,43050105,2016-10-21T04:55:04Z
23225577,Moham837,2057798,6,40280844,2016-06-25T12:12:15Z
23225583,JJones,432924,8,13319100,2012-10-01T08:17:05Z
23225584,JJones,432924,7,13319100,2012-10-01T08:17:05Z
23225589,yegbin,3274426,10,43050368,2016-10-21T05:15:54Z
23225604,yegbin,3274426,9,43050368,2016-10-21T05:15:54Z
23225606,ionutr_telenav,4930407,5,45506268,2017-01-26T09:47:39Z
23225607,Sundance,239998,5,27557157,2014-12-18T19:40:20Z
23225612,JJones,432924,5,13319100,2012-10-01T08:17:05Z
23225613,Sundance,239998,6,27557157,2014-12-18T19:40:20Z
23225614,edmontongeo,2550880,7,28170490,2015-01-15T18:48:44Z
23225621,Sundance,239998,9,27557157,2014-12-18T19:40:21Z
23225622,JJones,432924,6,13319100,2012-10-01T08:17:06Z
23225628,JJones,432924,3,13319100,2012-10-01T08:17:06Z
23225631,Sundance,239998,5,27557157,2014-12-18T19:40:21Z
23225634,Sundance,239998,5,12116439,2012-07-05T04:19:49Z
23225644,yegbin,3274426,8,40171110,2016-06-21T02:57:17Z
23225648,JJones,432924,5,13317764,2012-10-01T05:35:19Z
23225649,xelloss,26616,4,395228,2008-07-04T18:16:25Z
23225659,yegbin,3274426,8,40670692,2016-07-12T02:20:11Z
23225662,yegbin,3274426,7,40670692,2016-07-12T02:20:12Z
23225680,ionutr_telenav,4930407,10,45777977,2017-02-03T13:11:01Z
23225685,yegbin,3274426,41,40671727,2016-07-12T04:34:39Z
23225691,petrar_telenav,4940486,25,44393421,2016-12-14T09:51:10Z
23225693,petrar_telenav,4940486,30,44393421,2016-12-14T09:51:10Z
23225702,andrewpmk,1679,14,26753563,2014-11-13T11:06:43Z
23225709,yegbin,3274426,15,41077651,2016-07-28T05:37:24Z
23225731,ionutr_telenav,4930407,12,45329414,2017-01-20T15:35:17Z
23226305,xixi,86952,12,14651519,2013-01-14T18:19:06Z
23226323,yegbin,3274426,3,41603443,2016-08-21T23:15:05Z
23226331,Mesowhite,3848955,18,44887263,2017-01-04T01:17:44Z
